         83319207 function calls (76446223 primitive calls) in 27.215 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2568443/2518093    9.283    0.000   14.477    0.000 ElementPath.py:133(select)
26232433/25806101    3.392    0.000    3.595    0.000 ElementPath.py:197(select_child)
 27474985    1.930    0.000    1.944    0.000 {built-in method builtins.isinstance}
6459199/1212354    1.916    0.000    2.056    0.000 tree.py:289(traverse)
30694/23021    0.791    0.000   15.549    0.001 ElementPath.py:260(select)
    63470    0.672    0.000    0.725    0.000 {built-in method builtins.eval}
   595503    0.405    0.000    2.652    0.000 tree.py:230(iterate_leaves)
  1001263    0.324    0.000    0.452    0.000 tree.py:37(is_leaf)
  2568230    0.303    0.000    0.303    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
966965/281089    0.297    0.000    0.343    0.000 tree.py:280(reversed_path_to_root)
  2334426    0.294    0.000    0.294    0.000 tree.py:120(get_children)
   468028    0.239    0.000    0.540    0.000 xsdelement.py:25(name)
    60108    0.220    0.000    0.311    0.000 xsdtree.py:25(__init__)
    50413    0.215    0.000    0.236    0.000 ElementPath.py:344(iterfind)
    11382    0.212    0.000    2.084    0.000 xmlelement.py:205(<setcomp>)
51840/38233    0.202    0.000    0.679    0.000 xsdattribute.py:88(get_xsd_attributes)
  1133909    0.199    0.000    0.201    0.000 xsdtree.py:116(tag)
   568822    0.188    0.000    0.257    0.000 xsdtree.py:146(get_attributes)
   468076    0.188    0.000    0.245    0.000 xsdtree.py:103(name)
   149494    0.170    0.000    0.302    0.000 xsdattribute.py:18(xsd_tree)
  1380707    0.165    0.000    0.165    0.000 xmlchildcontainer.py:338(content)
    12825    0.165    0.000    1.520    0.000 xsdcomplextype.py:44(get_xsd_attributes)
     6634    0.146    0.000    1.171    0.000 xmlchildcontainer.py:422(<listcomp>)
48992/2316    0.143    0.000    1.788    0.001 xmlchildcontainer.py:581(__copy__)
156880/78631    0.142    0.000   12.223    0.000 xmlelement.py:367(__setattr__)
    52105    0.140    0.000    0.140    0.000 xsdtree.py:254(copy_et_element)
  1132157    0.139    0.000    0.139    0.000 xsdtree.py:126(xml_element_tree_element)
  12022/2    0.130    0.000    0.583    0.292 xmlelement.py:111(_create_et_xml_element)
52105/34520    0.127    0.000    0.993    0.000 xsdtree.py:253(__deepcopy__)
   125273    0.108    0.000    0.271    0.000 tree.py:19(__init__)
55417/49527    0.104    0.000    0.483    0.000 xmlchildcontainer.py:133(__init__)
    42955    0.103    0.000    0.122    0.000 ElementPath.py:172(select)
   134917    0.098    0.000    0.188    0.000 xsdattribute.py:52(name)
   197031    0.094    0.000    0.183    0.000 xmlelement.py:196(name)
51308/2316    0.093    0.000    1.795    0.001 copy.py:66(copy)
   149494    0.092    0.000    0.394    0.000 xsdattribute.py:8(__init__)
11832/3159    0.087    0.000    0.339    0.000 xmlchildcontainer.py:53(_check_if_choice_requires_elements)
   687296    0.083    0.000    0.083    0.000 tree.py:169(get_parent)
     7281    0.079    0.000    0.285    0.000 xmlelement.py:386(<listcomp>)
    34520    0.079    0.000    1.147    0.000 copy.py:128(deepcopy)
