         13881068 function calls (11679611 primitive calls) in 7.821 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1971622/388211    0.550    0.000    0.605    0.000 tree.py:32(_raw_traverse)
    42786    0.254    0.000    0.271    0.000 ElementPath.py:344(iterfind)
    10417    0.190    0.000    0.231    0.000 {built-in method builtins.eval}
  1379074    0.187    0.000    0.187    0.000 xmlchildcontainer.py:338(content)
51305/2315    0.182    0.000    2.216    0.001 copy.py:66(copy)
    42951    0.160    0.000    0.312    0.000 ElementPath.py:172(select)
   117645    0.159    0.000    0.265    0.000 tree.py:19(__init__)
48990/2315    0.158    0.000    2.209    0.001 xmlchildcontainer.py:583(__copy__)
182746/92995    0.155    0.000    2.567    0.000 xmlelement.py:366(__setattr__)
  1300492    0.154    0.000    0.171    0.000 {built-in method builtins.isinstance}
    11380    0.153    0.000    0.287    0.000 xmlelement.py:204(<setcomp>)
    85572    0.152    0.000    0.152    0.000 ElementPath.py:178(select)
52104/34519    0.146    0.000    1.170    0.000 xsdtree.py:255(__deepcopy__)
55415/49525    0.114    0.000    0.571    0.000 xmlchildcontainer.py:133(__init__)
     6632    0.109    0.000    0.254    0.000 xmlchildcontainer.py:424(<listcomp>)
   468004    0.109    0.000    0.133    0.000 xsdelement.py:26(name)
    52484    0.102    0.000    0.199    0.000 xsdtree.py:25(__init__)
    71938    0.092    0.000    0.326    0.000 tree.py:114(add_child)
   197011    0.090    0.000    0.131    0.000 xmlelement.py:195(name)
40073/34963    0.090    0.000    1.690    0.000 xmlwrapper.py:28(__setattr__)
11832/3159    0.090    0.000    0.298    0.000 xmlchildcontainer.py:53(_check_if_choice_requires_elements)
    29098    0.086    0.000    0.696    0.000 tree.py:313(traverse)
   537298    0.084    0.000    0.084    0.000 tree.py:130(get_children)
    34519    0.084    0.000    1.336    0.000 copy.py:128(deepcopy)
95789/52698    0.080    0.000    0.158    0.000 tree.py:298(reversed_path_to_root)
     7280    0.080    0.000    0.144    0.000 xmlelement.py:385(<listcomp>)
23513/4004    0.076    0.000    0.412    0.000 xmlchildcontainer.py:87(_check_if_sequence_requires_elements)
    52104    0.074    0.000    0.074    0.000 xsdtree.py:256(copy_et_element)
    10081    0.070    0.000    0.109    0.000 tree.py:245(<listcomp>)
16851/15901    0.069    0.000    0.110    0.000 ElementPath.py:133(select)
250462/161852    0.067    0.000    0.112    0.000 tree.py:292(_raw_reversed_path_to_root)
     7488    0.065    0.000    0.345    0.000 xmlelement.py:380(__getattr__)
   468117    0.064    0.000    0.064    0.000 tree.py:179(get_parent)
   279462    0.063    0.000    0.065    0.000 xsdtree.py:116(tag)
    42735    0.062    0.000    0.641    0.000 ElementPath.py:394(findall)
82948/78682    0.061    0.000    0.194    0.000 tree.py:306(_reset_iterators)
   131356    0.061    0.000    0.115    0.000 tree.py:106(up)
  12018/2    0.059    0.000    0.308    0.154 xmlelement.py:110(_create_et_xml_element)
     8525    0.058    0.000    2.269    0.000 xmlelement.py:76(_convert_attribute_to_child)
    42735    0.056    0.000    0.748    0.000 xsdtree.py:53(_populate_children)
     5741    0.056    0.000    0.097    0.000 xmlelement.py:264(<listcomp>)
51359/1899    0.056    0.000    0.277    0.000 xmlchildcontainer.py:523(get_leaves)
   266708    0.055    0.000    0.055    0.000 xsdtree.py:146(get_attributes)
    36669    0.053    0.000    0.085    0.000 xmlchildcontainer.py:354(<listcomp>)
63162/12018    0.050    0.000    0.065    0.000 tree.py:63(level)
     6632    0.047    0.000    0.184    0.000 xmlchildcontainer.py:252(_update_requirements_in_path)
   106186    0.047    0.000    0.047    0.000 {built-in method builtins.getattr}
    22247    0.047    0.000    0.073    0.000 xmlwrapper.py:35(<listcomp>)
   131718    0.046    0.000    0.794    0.000 xsdtree.py:151(get_children)
     6632    0.046    0.000    1.898    0.000 xmlchildcontainer.py:396(add_element)
     7672    0.043    0.000    2.927    0.000 xmlelement.py:31(__init__)
    28629    0.043    0.000    1.321    0.000 xsdelement.py:42(__copy__)
    55415    0.043    0.000    0.063    0.000 xmlchildcontainer.py:166(_check_content_type)
    55415    0.042    0.000    0.105    0.000 xmlchildcontainer.py:346(content)
     6632    0.042    0.000    0.091    0.000 xmlchildcontainer.py:402(select_valid_leaves)
38731/4005    0.042    0.000    0.419    0.000 xmlchildcontainer.py:42(_check_if_container_requires_elements)
    34519    0.041    0.000    0.052    0.000 copy.py:242(_keep_alive)
   345752    0.039    0.000    0.039    0.000 tree.py:47(is_leaf)
     8823    0.039    0.000    0.168    0.000 xmlelement.py:137(_set_attributes)
15378/3378    0.039    0.000    0.050    0.000 ElementTree.py:1190(_indent_children)
    36669    0.038    0.000    0.243    0.000 xmlchildcontainer.py:352(choices_in_reversed_path)
   167233    0.037    0.000    0.037    0.000 {method 'split' of 'str' objects}
    20361    0.035    0.000    0.067    0.000 copy.py:258(_reconstruct)
   166895    0.035    0.000    0.035    0.000 {method 'startswith' of 'str' objects}
   220938    0.034    0.000    0.034    0.000 xsdelement.py:38(xml_elements)
     4391    0.034    0.000    0.092    0.000 xmlchildcontainer.py:566(set_force_validate)
     2316    0.033    0.000    0.233    0.000 xmlchildcontainer.py:284(_set_requirements_fulfilled)
    54986    0.032    0.000    0.032    0.000 {method 'union' of 'set' objects}
12825/12412    0.030    0.000    0.083    0.000 chord.py:553(__setattr__)
   134916    0.030    0.000    0.030    0.000 xsdattribute.py:54(name)
    34519    0.030    0.000    0.069    0.000 xsdelement.py:7(__init__)
7582/7579    0.029    0.000    0.391    0.000 xsdsimpletype.py:19(__init__)
    15286    0.028    0.000    0.041    0.000 xmlchildcontainer.py:370(max_is_reached)
    42735    0.028    0.000    0.670    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
172504/164460    0.028    0.000    0.033    0.000 ElementPath.py:197(select_child)
    34519    0.028    0.000    0.040    0.000 xsdelement.py:18(xsd_tree)
    26161    0.028    0.000    0.045    0.000 xsdtree.py:186(get_restriction)
28803/10410    0.027    0.000    0.278    0.000 xmlchildcontainer.py:98(validate_child)
    15164    0.027    0.000    0.043    0.000 xsdsimpletype.py:85(_check_value_type)
    32335    0.027    0.000    0.182    0.000 xmlchildcontainer.py:551(func)
   165502    0.027    0.000    0.028    0.000 {method 'join' of 'str' objects}
     4005    0.024    0.000    0.705    0.000 xmlchildcontainer.py:482(check_required_elements)
     8717    0.024    0.000    0.368    0.000 xmlelement.py:213(value_)
    20361    0.024    0.000    0.024    0.000 {method '__reduce_ex__' of 'object' objects}
    52484    0.024    0.000    0.030    0.000 xsdtree.py:130(xml_element_tree_element)
   129663    0.023    0.000    0.023    0.000 xsdtree.py:126(xml_element_tree_element)
   156404    0.023    0.000    0.026    0.000 {method 'get' of 'dict' objects}
    25007    0.023    0.000    0.683    0.000 tree.py:240(iterate_leaves)
7582/7579    0.023    0.000    0.052    0.000 xsdsimpletype.py:34(_check_value)
     5890    0.022    0.000    0.284    0.000 xmlchildcontainer.py:16(_convert_xsd_child_to_xsd_container)
   144810    0.022    0.000    0.022    0.000 xmlchildcontainer.py:366(force_validate)
    11380    0.021    0.000    0.431    0.000 xmlelement.py:199(possible_children_names)
    35460    0.020    0.000    0.128    0.000 xmlelement.py:255(get_children)
   165473    0.019    0.000    0.019    0.000 xmlchildcontainer.py:384(requirements_not_fulfilled)
     6632    0.019    0.000    1.926    0.000 xmlelement.py:240(add_child)
13373/1899    0.019    0.000    0.271    0.000 xmlchildcontainer.py:532(<listcomp>)
    14808    0.019    0.000    0.030    0.000 util.py:49(isinstance_as_string)
      990    0.018    0.000    0.140    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
167420/167416    0.018    0.000    0.018    0.000 {built-in method builtins.len}
     6619    0.017    0.000    0.017    0.000 chord.py:554(<listcomp>)
     7582    0.017    0.000    0.028    0.000 xsdtree.py:220(<listcomp>)
   103557    0.017    0.000    0.017    0.000 {built-in method builtins.id}
     7582    0.017    0.000    0.103    0.000 xsdsimpletype.py:120(_populate_pattern)
     8525    0.016    0.000    0.022    0.000 xmlelement.py:269(find_child)
     7582    0.016    0.000    0.027    0.000 xsdtree.py:218(<listcomp>)
     7672    0.016    0.000    2.241    0.000 xmlelement.py:102(_create_child_container_tree)
 6425/535    0.015    0.000    0.315    0.001 xmlchildcontainer.py:278(_populate_children)
    63282    0.015    0.000    0.033    0.000 xsdtree.py:291(get_xsd_tree)
   6009/1    0.015    0.000    0.022    0.022 ElementTree.py:871(_serialize_xml)
    53100    0.015    0.000    0.020    0.000 xmlchildcontainer.py:174(_check_child_to_be_added)
    34147    0.015    0.000    0.020    0.000 xsdtree.py:103(name)
     7582    0.015    0.000    0.042    0.000 xsdtree.py:192(get_xsd_pattern)
15966/12165    0.014    0.000    0.237    0.000 xmlchildcontainer.py:81(_check_if_group_requires_elements)
    42786    0.014    0.000    0.014    0.000 ElementPath.py:336(__init__)
     7582    0.014    0.000    0.095    0.000 xsdtree.py:215(get_permitted)
    42735    0.014    0.000    0.014    0.000 xsdtree.py:54(<listcomp>)
   6009/1    0.014    0.000    0.697    0.697 xmlelement.py:118(_final_checks)
8213/8212    0.013    0.000    0.194    0.000 xmlwrapper.py:41(__getattr__)
    93288    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
    85824    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
    21243    0.013    0.000    0.016    0.000 chord.py:445(get_parent)
     6632    0.013    0.000    0.031    0.000 xsdelement.py:32(add_xml_element)
        4    0.012    0.003    0.013    0.003 sre_compile.py:276(_optimize_charset)
    20361    0.012    0.000    0.018    0.000 copyreg.py:94(__newobj__)
     7582    0.012    0.000    0.109    0.000 xsdsimpletype.py:109(_populate_permitted)
     8823    0.011    0.000    0.015    0.000 core.py:40(replace_key_underline_with_hyphen)
    10788    0.011    0.000    0.014    0.000 core.py:1(cap_first)
     4857    0.011    0.000    0.042    0.000 tree.py:95(previous)
    15473    0.011    0.000    0.011    0.000 {built-in method _abc._abc_instancecheck}
    68618    0.010    0.000    0.010    0.000 xsdelement.py:14(xsd_tree)
    14808    0.010    0.000    0.010    0.000 util.py:61(<listcomp>)
     9735    0.010    0.000    0.019    0.000 quarterduration.py:265(_convert_other)
    13000    0.010    0.000    0.013    0.000 chord.py:438(get_children)
2939/1120    0.009    0.000    0.098    0.000 core.py:174(_get_music_tree_descendent)
7582/7579    0.009    0.000    0.078    0.000 xsdsimpletype.py:129(value)
    21938    0.009    0.000    0.012    0.000 xmlchildcontainer.py:555(<listcomp>)
     7582    0.009    0.000    0.064    0.000 xsdtree.py:191(get_pattern)
    54235    0.009    0.000    0.009    0.000 {built-in method builtins.iter}
4278/4275    0.009    0.000    0.060    0.000 xsdsimpletype.py:249(value)
    40630    0.009    0.000    0.009    0.000 {built-in method builtins.hasattr}
     4238    0.009    0.000    0.115    0.000 xsdcomplextype.py:15(__init__)
     6009    0.008    0.000    0.022    0.000 xmlelement.py:65(_check_required_attributes)
    12018    0.008    0.000    0.061    0.000 ElementTree.py:1165(indent)
     2939    0.008    0.000    0.015    0.000 core.py:33(_check_args_kwargs)
     8525    0.008    0.000    0.021    0.000 xmlelement.py:84(<listcomp>)
    13646    0.008    0.000    0.010    0.000 beat.py:408(get_children)
     6632    0.007    0.000    0.007    0.000 xmlchildcontainer.py:421(<listcomp>)
    20361    0.007    0.000    0.007    0.000 {method '_update' of 'dict' objects}
  12017/5    0.007    0.000    0.303    0.061 xmlelement.py:187(et_xml_element)
     7582    0.007    0.000    0.020    0.000 xsdsimpletype.py:112(_populate_forced_permitted)
