30.739475412
         57638455 function calls (50957335 primitive calls) in 31.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5196000/1315000    1.453    0.000    1.611    0.000 tree.py:32(_raw_traverse)
        1    1.224    1.224    1.225    1.225 {built-in method builtins.print}
    66037    0.926    0.000    1.058    0.000 {built-in method builtins.eval}
1178000/636000    0.922    0.000   10.931    0.000 xmlelement.py:366(__setattr__)
  5647000    0.758    0.000    0.758    0.000 xmlchildcontainer.py:338(content)
234000/19000    0.685    0.000    6.081    0.000 xmlchildcontainer.py:583(__copy__)
  5613667    0.669    0.000    0.746    0.000 {built-in method builtins.isinstance}
   593165    0.639    0.000    1.059    0.000 tree.py:19(__init__)
314000/271000    0.628    0.000    8.228    0.000 xmlwrapper.py:28(__setattr__)
266000/169000    0.617    0.000    3.266    0.000 xsdtree.py:277(__deepcopy__)
263000/239000    0.503    0.000    1.991    0.000 xmlchildcontainer.py:133(__init__)
92000/2000    0.467    0.000    2.031    0.001 xmlelement.py:110(_create_et_xml_element)
   261051    0.420    0.000    0.494    0.000 ElementPath.py:344(iterfind)
   349165    0.418    0.000    1.635    0.000 tree.py:114(add_child)
    59000    0.414    0.000    0.858    0.000 xmlelement.py:204(<setcomp>)
   268165    0.404    0.000    0.787    0.000 xsdtree.py:26(__init__)
104000/38000    0.400    0.000    1.772    0.000 xmlchildcontainer.py:87(_check_if_sequence_requires_elements)
   210000    0.342    0.000    1.984    0.000 tree.py:313(traverse)
   175000    0.327    0.000    0.510    0.000 xmlwrapper.py:35(<listcomp>)
450000/266000    0.322    0.000    0.636    0.000 tree.py:298(reversed_path_to_root)
  1345000    0.320    0.000    0.462    0.000 xsdelement.py:26(name)
42000/21000    0.315    0.000    0.941    0.000 xmlchildcontainer.py:53(_check_if_choice_requires_elements)
    45000    0.314    0.000    0.711    0.000 xmlchildcontainer.py:424(<listcomp>)
  1402565    0.311    0.000    0.322    0.000 xsdtree.py:122(tag)
  2384327    0.310    0.000    0.310    0.000 tree.py:179(get_parent)
   261051    0.308    0.000    1.704    0.000 xsdtree.py:57(_populate_children)
    57000    0.305    0.000    0.469    0.000 xmlelement.py:264(<listcomp>)
   261051    0.304    0.000    1.133    0.000 ElementPath.py:394(findall)
390000/92000    0.296    0.000    0.384    0.000 tree.py:63(level)
    49000    0.294    0.000    9.473    0.000 xmlelement.py:76(_convert_attribute_to_child)
423246/395165    0.292    0.000    1.028    0.000 tree.py:306(_reset_iterators)
263000/19000    0.291    0.000    1.212    0.000 xmlchildcontainer.py:523(get_leaves)
126000/38000    0.289    0.000    0.366    0.000 ElementTree.py:1190(_indent_children)
    45000    0.284    0.000    1.025    0.000 xmlchildcontainer.py:252(_update_requirements_in_path)
  1920000    0.277    0.000    0.277    0.000 tree.py:130(get_children)
980000/627000    0.265    0.000    0.445    0.000 tree.py:292(_raw_reversed_path_to_root)
    45000    0.261    0.000    6.777    0.000 xmlchildcontainer.py:396(add_element)
   774118    0.258    0.000    1.962    0.000 xsdtree.py:173(get_children)
   624000    0.256    0.000    0.394    0.000 xmlelement.py:195(name)
    49000    0.251    0.000    9.637    0.000 xmlelement.py:31(__init__)
   266000    0.245    0.000    0.245    0.000 xsdtree.py:278(copy_et_element)
   261216    0.245    0.000    0.336    0.000 ElementPath.py:172(select)
   586327    0.242    0.000    0.434    0.000 tree.py:106(up)
   793030    0.237    0.000    0.259    0.000 xsdtree.py:107(name)
    70000    0.225    0.000    0.343    0.000 tree.py:245(<listcomp>)
  1182000    0.223    0.000    0.223    0.000 {method 'startswith' of 'str' objects}
    55000    0.215    0.000    1.199    0.000 xmlelement.py:137(_set_attributes)
   167000    0.208    0.000    0.339    0.000 xmlchildcontainer.py:354(<listcomp>)
    45000    0.203    0.000    0.428    0.000 xmlchildcontainer.py:402(select_valid_leaves)
   145000    0.187    0.000    3.414    0.000 xsdelement.py:42(__copy__)
   263000    0.184    0.000    0.270    0.000 xmlchildcontainer.py:166(_check_content_type)
    28000    0.184    0.000    0.734    0.000 xmlelement.py:380(__getattr__)
   263000    0.178    0.000    0.448    0.000 xmlchildcontainer.py:346(content)
   167000    0.176    0.000    0.968    0.000 xmlchildcontainer.py:352(choices_in_reversed_path)
    29000    0.173    0.000    0.481    0.000 xmlchildcontainer.py:566(set_force_validate)
156000/39000    0.168    0.000    1.867    0.000 xmlchildcontainer.py:42(_check_if_container_requires_elements)
50000/47000    0.166    0.000    2.452    0.000 xsdsimpletype.py:19(__init__)
