         25989017 function calls (19595184 primitive calls) in 11.450 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6459199/1212354    1.925    0.000    2.063    0.000 tree.py:289(traverse)
    63470    0.823    0.000    0.876    0.000 {built-in method builtins.eval}
   595503    0.405    0.000    2.645    0.000 tree.py:230(iterate_leaves)
  1001263    0.310    0.000    0.435    0.000 tree.py:37(is_leaf)
966965/281089    0.297    0.000    0.343    0.000 tree.py:280(reversed_path_to_root)
  2334426    0.288    0.000    0.288    0.000 tree.py:120(get_children)
   468028    0.238    0.000    0.544    0.000 xsdelement.py:25(name)
    11382    0.205    0.000    2.091    0.000 xmlelement.py:205(<setcomp>)
  1133909    0.203    0.000    0.205    0.000 xsdtree.py:116(tag)
51840/38233    0.198    0.000    0.667    0.000 xsdattribute.py:88(get_xsd_attributes)
   468076    0.184    0.000    0.250    0.000 xsdtree.py:103(name)
   568822    0.183    0.000    0.257    0.000 xsdtree.py:146(get_attributes)
    42792    0.171    0.000    0.185    0.000 ElementPath.py:344(iterfind)
   149494    0.165    0.000    0.296    0.000 xsdattribute.py:18(xsd_tree)
  1380707    0.164    0.000    0.164    0.000 xmlchildcontainer.py:338(content)
    12825    0.160    0.000    1.660    0.000 xsdcomplextype.py:44(get_xsd_attributes)
  1421856    0.159    0.000    0.173    0.000 {built-in method builtins.isinstance}
  1132157    0.155    0.000    0.155    0.000 xsdtree.py:126(xml_element_tree_element)
52105/34520    0.153    0.000    0.825    0.000 xsdtree.py:253(__deepcopy__)
     6634    0.143    0.000    1.147    0.000 xmlchildcontainer.py:422(<listcomp>)
48992/2316    0.140    0.000    1.613    0.001 xmlchildcontainer.py:581(__copy__)
149206/74799    0.131    0.000    4.075    0.000 xmlelement.py:367(__setattr__)
  12022/2    0.130    0.000    0.583    0.291 xmlelement.py:111(_create_et_xml_element)
55417/49527    0.107    0.000    0.449    0.000 xmlchildcontainer.py:133(__init__)
   117652    0.101    0.000    0.259    0.000 tree.py:19(__init__)
   134917    0.096    0.000    0.187    0.000 xsdattribute.py:52(name)
51308/2316    0.094    0.000    1.619    0.001 copy.py:66(copy)
   149494    0.089    0.000    0.385    0.000 xsdattribute.py:8(__init__)
   197031    0.088    0.000    0.177    0.000 xmlelement.py:196(name)
11832/3159    0.087    0.000    0.336    0.000 xmlchildcontainer.py:53(_check_if_choice_requires_elements)
   687296    0.083    0.000    0.083    0.000 tree.py:169(get_parent)
    52487    0.080    0.000    0.155    0.000 xsdtree.py:25(__init__)
     7281    0.078    0.000    0.283    0.000 xmlelement.py:386(<listcomp>)
    34520    0.078    0.000    0.976    0.000 copy.py:128(deepcopy)
23515/4006    0.074    0.000    0.457    0.000 xmlchildcontainer.py:87(_check_if_sequence_requires_elements)
     5744    0.073    0.000    0.495    0.000 xmlelement.py:265(<listcomp>)
    85584    0.070    0.000    0.070    0.000 ElementPath.py:178(select)
     7489    0.067    0.000    2.285    0.000 xmlelement.py:381(__getattr__)
