33.726771585
         60844953 function calls (53920799 primitive calls) in 34.593 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5196000/1315000    1.472    0.000    1.633    0.000 tree.py:32(_raw_traverse)
    66037    1.024    0.000    1.163    0.000 {built-in method builtins.eval}
1178000/636000    0.982    0.000   11.325    0.000 xmlelement.py:366(__setattr__)
        1    0.917    0.917    0.917    0.917 {built-in method builtins.print}
  5647000    0.766    0.000    0.766    0.000 xmlchildcontainer.py:338(content)
  5870295    0.737    0.000    0.823    0.000 {built-in method builtins.isinstance}
234000/19000    0.731    0.000    7.956    0.000 xmlchildcontainer.py:583(__copy__)
266000/169000    0.669    0.000    3.500    0.000 xsdtree.py:255(__deepcopy__)
   593206    0.667    0.000    1.109    0.000 tree.py:19(__init__)
314000/271000    0.655    0.000    8.667    0.000 xmlwrapper.py:28(__setattr__)
263000/239000    0.516    0.000    2.203    0.000 xmlchildcontainer.py:133(__init__)
92000/2000    0.480    0.000    2.119    0.001 xmlelement.py:110(_create_et_xml_element)
   261092    0.456    0.000    0.534    0.000 ElementPath.py:344(iterfind)
253000/19000    0.454    0.000    8.002    0.000 copy.py:66(copy)
   349165    0.437    0.000    1.697    0.000 tree.py:114(add_child)
    59000    0.422    0.000    0.848    0.000 xmlelement.py:204(<setcomp>)
   169000    0.402    0.000    4.297    0.000 copy.py:128(deepcopy)
104000/38000    0.400    0.000    1.788    0.000 xmlchildcontainer.py:87(_check_if_sequence_requires_elements)
   268206    0.385    0.000    0.793    0.000 xsdtree.py:25(__init__)
   210000    0.348    0.000    2.012    0.000 tree.py:313(traverse)
   175000    0.337    0.000    0.524    0.000 xmlwrapper.py:35(<listcomp>)
   261051    0.335    0.000    1.224    0.000 ElementPath.py:394(findall)
450000/266000    0.325    0.000    0.644    0.000 tree.py:298(reversed_path_to_root)
  2384327    0.323    0.000    0.323    0.000 tree.py:179(get_parent)
390000/92000    0.321    0.000    0.417    0.000 tree.py:63(level)
   261051    0.319    0.000    1.819    0.000 xsdtree.py:53(_populate_children)
  1345000    0.318    0.000    0.437    0.000 xsdelement.py:26(name)
    45000    0.318    0.000    0.734    0.000 xmlchildcontainer.py:424(<listcomp>)
42000/21000    0.313    0.000    0.947    0.000 xmlchildcontainer.py:53(_check_if_choice_requires_elements)
  1341484    0.310    0.000    0.323    0.000 xsdtree.py:116(tag)
   624000    0.309    0.000    0.436    0.000 xmlelement.py:195(name)
    57000    0.306    0.000    0.473    0.000 xmlelement.py:264(<listcomp>)
    49000    0.303    0.000    9.791    0.000 xmlelement.py:76(_convert_attribute_to_child)
423246/395165    0.300    0.000    1.058    0.000 tree.py:306(reset_frozen)
126000/38000    0.295    0.000    0.372    0.000 ElementTree.py:1190(_indent_children)
  1920000    0.293    0.000    0.293    0.000 tree.py:130(get_children)
263000/19000    0.291    0.000    1.214    0.000 xmlchildcontainer.py:523(get_leaves)
    45000    0.290    0.000    1.048    0.000 xmlchildcontainer.py:252(_update_requirements_in_path)
   266000    0.284    0.000    0.284    0.000 xsdtree.py:256(copy_et_element)
980000/627000    0.270    0.000    0.449    0.000 tree.py:292(_raw_reversed_path_to_root)
    45000    0.269    0.000    7.076    0.000 xmlchildcontainer.py:396(add_element)
   774091    0.262    0.000    2.081    0.000 xsdtree.py:151(get_children)
   261216    0.260    0.000    0.357    0.000 ElementPath.py:172(select)
   586327    0.253    0.000    0.457    0.000 tree.py:106(up)
    49000    0.253    0.000   11.719    0.000 xmlelement.py:31(__init__)
  1182000    0.228    0.000    0.228    0.000 {method 'startswith' of 'str' objects}
    70000    0.227    0.000    0.346    0.000 tree.py:245(<listcomp>)
    55000    0.225    0.000    1.231    0.000 xmlelement.py:137(_set_attributes)
   145000    0.212    0.000    4.381    0.000 xsdelement.py:42(__copy__)
   167000    0.212    0.000    0.344    0.000 xmlchildcontainer.py:354(<listcomp>)
    45000    0.210    0.000    0.439    0.000 xmlchildcontainer.py:402(select_valid_leaves)
   263000    0.200    0.000    0.292    0.000 xmlchildcontainer.py:166(_check_content_type)
   512000    0.196    0.000    0.196    0.000 {built-in method builtins.getattr}
   263000    0.192    0.000    0.484    0.000 xmlchildcontainer.py:346(content)
    28000    0.191    0.000    0.753    0.000 xmlelement.py:380(__getattr__)
   169000    0.189    0.000    0.242    0.000 copy.py:242(_keep_alive)
    29000    0.180    0.000    0.494    0.000 xmlchildcontainer.py:566(set_force_validate)
   167000    0.175    0.000    0.978    0.000 xmlchildcontainer.py:352(choices_in_reversed_path)
50000/47000    0.174    0.000    2.519    0.000 xsdsimpletype.py:19(__init__)
156000/39000    0.173    0.000    1.887    0.000 xmlchildcontainer.py:42(_check_if_container_requires_elements)
   815201    0.166    0.000    0.166    0.000 xsdtree.py:146(get_attributes)
    98000    0.166    0.000    0.244    0.000 xmlchildcontainer.py:370(max_is_reached)
   181000    0.160    0.000    0.261    0.000 xsdtree.py:186(get_restriction)
   100000    0.159    0.000    0.266    0.000 xsdsimpletype.py:85(_check_value_type)
  1167000    0.159    0.000    0.159    0.000 xsdelement.py:38(xml_elements)
   261051    0.154    0.000    1.379    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
    20000    0.151    0.000    0.898    0.000 xmlchildcontainer.py:284(_set_requirement_not_fulfilled)
    39000    0.150    0.000    3.105    0.000 xmlchildcontainer.py:482(check_required_elements)
    89000    0.147    0.000    0.274    0.000 copy.py:258(_reconstruct)
    58000    0.147    0.000    2.113    0.000 xmlelement.py:213(value_)
   169000    0.144    0.000    0.328    0.000 xsdelement.py:7(__init__)
   217000    0.144    0.000    0.702    0.000 xmlelement.py:255(get_children)
   306000    0.143    0.000    0.143    0.000 {method 'union' of 'set' objects}
117000/60000    0.139    0.000    1.061    0.000 xmlchildcontainer.py:98(validate_child)
46000/1000    0.139    0.000    3.365    0.003 xmlelement.py:118(_final_checks)
   168000    0.135    0.000    1.787    0.000 tree.py:240(iterate_leaves)
46000/1000    0.132    0.000    0.189    0.000 ElementTree.py:871(_serialize_xml)
   169000    0.129    0.000    0.184    0.000 xsdelement.py:18(xsd_tree)
