0.47064407
         764038 function calls (730037 primitive calls) in 0.494 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
19000/8000    0.046    0.000    0.223    0.000 xsdtree.py:277(__deepcopy__)
11000/1000    0.031    0.000    0.435    0.000 xmlchildcontainer.py:583(__copy__)
    31000    0.030    0.000    0.033    0.000 tree.py:19(__init__)
    19000    0.028    0.000    0.055    0.000 xsdtree.py:26(__init__)
    21000    0.024    0.000    0.056    0.000 tree.py:114(add_child)
        1    0.023    0.023    0.023    0.023 {built-in method builtins.print}
    11000    0.021    0.000    0.051    0.000 xmlchildcontainer.py:133(__init__)
12000/1000    0.019    0.000    0.437    0.000 copy.py:66(copy)
     8000    0.018    0.000    0.258    0.000 copy.py:128(deepcopy)
    10000    0.016    0.000    0.019    0.000 ElementPath.py:344(iterfind)
    19000    0.015    0.000    0.015    0.000 xsdtree.py:278(copy_et_element)
    10000    0.012    0.000    0.044    0.000 ElementPath.py:394(findall)
19000/17000    0.012    0.000    0.016    0.000 xmlelement.py:366(__setattr__)
    21000    0.011    0.000    0.022    0.000 tree.py:306(reset_frozen)
    10000    0.011    0.000    0.064    0.000 xsdtree.py:57(_populate_children)
     8000    0.011    0.000    0.285    0.000 xsdelement.py:42(__copy__)
    10000    0.009    0.000    0.013    0.000 ElementPath.py:172(select)
    85003    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
     8000    0.008    0.000    0.011    0.000 copy.py:242(_keep_alive)
    11000    0.008    0.000    0.012    0.000 xmlchildcontainer.py:166(_check_content_type)
    11000    0.008    0.000    0.019    0.000 xmlchildcontainer.py:346(content)
    23000    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
    19000    0.007    0.000    0.072    0.000 xsdtree.py:173(get_children)
    21000    0.007    0.000    0.011    0.000 tree.py:106(up)
    19000    0.007    0.000    0.009    0.000 xsdtree.py:147(xml_element_tree_element)
     8000    0.007    0.000    0.015    0.000 xsdelement.py:7(__init__)
    29000    0.006    0.000    0.006    0.000 xsdtree.py:122(tag)
     8000    0.006    0.000    0.008    0.000 xsdelement.py:18(xsd_tree)
    10000    0.006    0.000    0.049    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
     1000    0.005    0.000    0.469    0.000 xmlelement.py:31(__init__)
     3000    0.005    0.000    0.009    0.000 copy.py:258(_reconstruct)
    29001    0.005    0.000    0.005    0.000 xsdtree.py:143(xml_element_tree_element)
    24000    0.004    0.000    0.004    0.000 {built-in method builtins.id}
    31000    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     1000    0.003    0.000    0.007    0.000 xmlelement.py:137(_set_attributes)
    20000    0.003    0.000    0.003    0.000 ElementPath.py:178(select)
    21000    0.003    0.000    0.003    0.000 tree.py:179(get_parent)
     3000    0.003    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
    11000    0.003    0.000    0.004    0.000 xsdtree.py:61(_check_child_to_be_added)
    10000    0.003    0.000    0.003    0.000 xsdtree.py:58(<listcomp>)
    10000    0.003    0.000    0.003    0.000 ElementPath.py:336(__init__)
    10000    0.003    0.000    0.004    0.000 xmlchildcontainer.py:174(_check_child_to_be_added)
    21000    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    20000    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
     1000    0.003    0.000    0.441    0.000 xmlelement.py:102(_create_child_container_tree)
    11000    0.002    0.000    0.002    0.000 tree.py:130(get_children)
     1000    0.002    0.000    0.004    0.000 xmlelement.py:213(value_)
    11000    0.002    0.000    0.002    0.000 xmlchildcontainer.py:338(content)
     3000    0.001    0.000    0.002    0.000 copyreg.py:94(__newobj__)
     1000    0.001    0.000    0.002    0.000 xsdcomplextype.py:15(__init__)
     8000    0.001    0.000    0.001    0.000 xsdelement.py:14(xsd_tree)
     3000    0.001    0.000    0.001    0.000 {method '_update' of 'dict' objects}
     1000    0.001    0.000    0.470    0.000 time_xml_score.py:11(hello_xml_score)
     1000    0.001    0.000    0.001    0.000 core.py:40(replace_key_underline_with_hyphen)
     3000    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1038493b8}
     1000    0.001    0.000    0.001    0.000 xsdcomplextype.py:40(value)
     2000    0.000    0.000    0.000    0.000 xsdtree.py:313(get_xsd_tree)
     1000    0.000    0.000    0.001    0.000 xsdtree.py:95(is_simple_type)
     1000    0.000    0.000    0.001    0.000 xsdtree.py:101(is_complex_type)
        1    0.000    0.000    0.471    0.471 <timeit-src>:2(inner)
     3001    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1000    0.000    0.000    0.000    0.000 xmlelement.py:47(_fill_xsd_tree)
     1000    0.000    0.000    0.001    0.000 xmlelement.py:236(xsd_check)
     1000    0.000    0.000    0.000    0.000 xsdcomplextype.py:27(_check_value)
     2000    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1000    0.000    0.000    0.000    0.000 xmlelement.py:149(<dictcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      2/1    0.000    0.000    0.494    0.494 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 timeit.py:101(__init__)
        1    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.471    0.471 timeit.py:163(timeit)
        1    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
